,text
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,None | best personality on the red carpet tonight he is a presenter his movie | winner
20,
21,
22,
23,
24,
25,
26,None | best | winner
27,bill murray | the beard award | winner
28,
29,
30,
31,None | an award | nominee
32,
33,
34,
35,
36,
37,None | best movie | winner
38,
39,None | best | winner
40,
41,bill murray | best facial hair of the night | winner
42,
43,
44,
45,
46,None | best | winner
47,None | best | winner
48,None | best | winner
49,
50,None | best | winner
51,christoph waltz | best | winner
52,
53,yayyyyy christoph wins | best | winner
54,
55,None | best | winner
56,None | best | winner
57,christoph | best | winner
58,None | best | winner
59,christoph waltz | best | winner
60,
61,None | best | winner
62,None | best | winner
63,None | best | winner
64,None | best | winner
65,None | best | winner
66,None | best | winner
67,
68,None | best | winner
69,None | best | winner
70,None | best | winner
71,None | best | winner
72,None | best | winner
73,christoph waltz | best | winner
74,None | best | winner
75,christopher | best | winner
76,
77,None | its first award | winner
78,None | best | winner
79,
80,christoph waltz | best | winner
81,
82,christoph | the first award | winner
83,
84,
85,
86,
87,None | best | winner
88,None | best | nominee
89,
90,None | best | winner
91,rt @washingtonpost | best | winner
92,
93,None | best actor alive | winner
94,christoph waltz | best | winner
95,
96,christoph waltz | best | winner
97,christoph waltz | best | winner
98,
99,None | best | winner
100,None | best | winner
101,None | best | winner
102,None | best | winner
103,christopher waltz | best | winner
104,
105,christoph | an award | winner
106,rt @washingtonpost | best | winner
107,
108,None | best | winner
109,
110,christoph waltz | best | winner
111,rt @washingtonpost | best | winner
112,rt @washingtonpost | best | winner
113,christoph | the award | winner
114,None | best | winner
115,christoph | the first award | winner
116,
117,None | best | winner
118,None | best | winner
119,
120,
121,None | best | winner
122,
123,None | best | winner
124,rt @washingtonpost | best | winner
125,
126,christoph waltz | best | winner
127,
128,
129,
130,
131,
132,
133,None | the first award | winner
134,rt @radiotj christoph | first award | winner
135,
136,maggie smith | every award | winner
137,
138,
139,None | best | winner
140,
141,None | best | winner
142,None | best | winner
143,rt @thr maggie smith | best | winner
144,maggie smith | best | winner
145,None | best | winner
146,
147,maggie smith | best | winner
148,
149,
150,christoph waltz | best | winner
151,smith | best | winner
152,
153,None | best | winner
154,
155,None | best | winner
156,
157,None | best director | nominee
158,
159,None | an award | winner
160,
161,
162,rt @washingtonpost | best | winner
163,None | best | winner
164,
165,None | best | winner
166,None | best | winner
167,None | best | winner
168,
169,None | best | winner
170,None | best | winner
171,christoph waltz | best | winner
172,smith kick the night | best | winner
173,None | best | winner
174,
175,smith | best | winner
176,
177,
178,
179,None | best | winner
180,
181,None | best | winner
182,
183,None | best | winner
184,None | supporting actress foreigners living in america give award | winner
185,rt @gbprobst | a well deserved award | winner
186,
187,None | best | winner
188,None | best | winner
189,None | best | winner
190,
191,
192,None | best | winner
