,text
46,{'Best Actress': 'Best Actress'}
290,{'best dressed of the week': 'GoldenGlobes'}
961,{'best dressed of the week': 'GoldenGlobes'}
1189,{'Best Actress nominee Jennifer Lawrence wears red Dior': 'GoldenGlobes'}
2688,{'BEST ACTOR': 'ANDREW LINCOLN'}
3062,{'Best supporting actress nominee Sofia Vergara is': 'Sofia Vergara'}
5207,{'best actor award would expose lack of focus on women in leading roles': 'GoldenGlobes'}
7386,"{'Best Song ""': 'GoldenGlobes'}"
7766,"{'Best Song ""': 'GoldenGlobes'}"
21575,{'Best Original Song': 'Jon Bon Jovi'}
22221,{'best bit ever': 'Amy Poehler'}
22307,{'Best Mini - Series': 'GoldenGlobes'}
23572,{'Best awards moment ever': 'Amy Poehler'}
23644,{'best comedy / musical nominee': 'GoldenGlobes'}
23697,{'best miniseries': 'Jessica Lange'}
23786,{'best motion picture': 'GoldenGlobes'}
24623,{'Best T': 'Catherine Zeta Jones'}
24953,{'Best awards moment ever': 'Amy Poehler'}
25812,{'Best T': 'Catherine Zeta Jones'}
26462,{'Best T': 'Catherine Zeta Jones'}
29021,{'best male actor ( drama': 'GoldenGlobes'}
29129,{'Best Actor TV Series': 'Best Actor TV Series'}
30006,{'best TV actor': 'Si Robertson'}
30681,{'best dressed nominee': 'Kate Hudson'}
31365,"{'Best Song ""': 'GoldenGlobes'}"
32677,{'best drama series': 'Globe'}
32883,{'best nominee to not': 'GoldenGlobes'}
33805,{'best supporting actress at the the golden globes': 'Selena Gomez'}
33835,{'Best show on TV not nominated': 'Golden Globes'}
34415,{'Best TV Drama': 'Best TV Drama'}
34469,"{'Best Animated Film "" and': 'Best Animated Film'}"
34700,"{'Best Animated Film "" and': 'Best Animated Film'}"
34752,{'Best T': 'Catherine Zeta Jones'}
34798,"{'Best Animated Film "" and': 'Best Animated Film'}"
34890,"{'Best Animated Film "" and': 'Best Animated Film'}"
35094,"{'Best Animated Film "" and': 'Best Animated Film'}"
35099,"{'Best Animated Film "" and': 'Best Animated Film'}"
35562,{'best season of television ever in 2012': 'GoldenGlobes'}
35839,"{'Best Animated Film "" and': 'Best Animated Film'}"
35843,{'best supporting actress at the the golden globes': 'Selena Gomez'}
35846,{'best supporting actress at the the golden globes': 'Selena Gomez'}
35946,"{'Best Animated Film "" and': 'Best Animated Film'}"
36978,{'Best Original Song': 'Best Original Song'}
37224,{'Best musical score just': 'GoldenGlobes'}
37568,{'Best Drama': 'Newsroom'}
38575,{'best actress in a drama series': 'GoldenGlobes'}
39292,{'best original song': 'Adele'}
40657,"{'Best Animated Film "" and': 'Best Animated Film'}"
41529,{'best friends': 'Adele'}
41691,"{'Best Original Song in a Motion Picture ""': 'ActofValor'}"
49110,{'best dressed nominee': 'GoldenGlobes'}
49554,{'best dressed': 'GoldenGlobes'}
52392,{'Best Picture nominee Lincoln': 'Bill Clinton'}
52692,{'Best Picture nominee Lincoln': 'Bill Clinton'}
52734,{'Best Picture nominee Lincoln': 'Bill Clinton'}
52945,{'Best Picture nominee Lincoln': 'Bill Clinton'}
52976,{'Best Picture nominee Lincoln': 'Bill Clinton'}
53309,{'Best Picture nominee Lincoln': 'Bill Clinton'}
53564,{'Best Picture nominee Lincoln': 'Bill Clinton'}
53661,{'best picture nominee at': 'Bill Clinton'}
53665,{'Best Actor': 'Tina Fey'}
53874,{'best picture nominee at': 'Bill Clinton'}
54010,{'Best Actor': 'Tina Fey'}
54095,{'Best Actor': 'Tina Fey'}
54101,{'Best Picture nominee': 'Clinton'}
54115,{'Best Picture nominee Lincoln': 'Bill Clinton'}
