,text
351,too busy for the this go around somebody tweet me if cumberbatch wins
612,lmao @morocca hey nbc shouldve gotten a mani cam e wins this round
1937,im happy if anne hathaway wins @goldenglobes
2388,agreed rt @alexandrawrote hair dress makeup marion cottilard wins
2537,touche rt @wikimapper @franchambers golden globes is just a different kind of politics i for one hope argo wins
2862,hoping silver linings playbook wins it all tonight
2983,id watch the but scripted tv wins out over awards shows every time
4248,i hope django unchained wins everything it wont
5007,hopefully the are good and that jennifer lawrence wins tonight
5371,are actually about to start wins everything ever
6053,bill murray wins
6177,i love watching the golden globes i hope zero dark thirty wins something
6197,with that shot bill murray wins for greatest beard of the night
6757,i just want to see more benedict is that too much to ask oh and that he wins that would be da best
7038,bill murray wins the beard award
7109,bill murrays facial hair wins the golden globes
7402,bill fuckin murray is pulling a wolverine fuck yea he wins all the we the fuck they give away
7728,breaking bill murrays van buren wins all the golden globes
8289,the begins hope django unchained wins an award in the name of the underdog
8317,im still mad at olivia munn for the @taylorswift13 episode but she wins my most wanted dress
9079,amy poehler wins the night game over
9550,and wins the night with her james cameron burn
9608,watching cant wait to see who wins
9722,golden globes will ben affleck and katheryn bigelow have better luck after oscar snubs consolation wins for b
9730,watching the golden globes i say silver linings wins best movie
10265,im so anxious to see who wins
10445,so far tina fey wins best dressed im obsessed with that dress
10904,i dont even care who wins anymore i just want tina and amy to keep talking
13058,whoever makes a ringtone of amy singing i dream a dream wins my heart send it to me
13714,i dont even care about who wins give me more tina and amy
13799,i dont really care about who actually wins the awards
13838,if my nigga daniel craig wins something at the golden globes tonite
14185,christoph waltz wins best supporting actor for django unchained
14203,django wins
14267,yayyyyy christoph wins best supporting actor thats one for django
14268,wins
14308,christoph waltz wins golden globe for best supporting actor
14320,god damn thats a strong group of best supporting actors but waltz wins
14441,christoph waltz wins best supporting actor
14487,christoph waltz wins for django
14674,called it christoph waltz wins best supporting
14973,there had better be some wins tonight for les mis
15195,blm ntn but make sense @thr christoph waltz wins the golden globe for best supporting actor in django unchained
15325,christoph waltz wins best supporting actor for django unchained
15401,christopher waltz wins best supporting actor
15412,christoph waltz wins for django unchained @mikeandbilly
15443,django wins its first award
15450,woah christoph waltz wins best supporting actor for django unchained i was between leo and hoffman
15475,if benedict cumberbatch wins his category no matter what else happens this year will be okay
15530,christoph waltz wins best supporting actor for django unchained
15564,my first pick wins chistoph waltz
15639,christoph waltz wins the first award of the night dont need to watch the anymore then
15686,poor he only wins victorias secret models
15813,yes 1 for 1 walz wins i got this
15831,daniel day lewis wins all the for his et performance
15842,christoph waltz wins the first bit of hardware and its well deserved
15866,first award christoph waltz wins the for best supporting actor in django unchained
15880,wow christoph waltz wins best supporting actor did not think that was gonna happen
15930,ayyyyyyye theyre playing @johnlegends song whenever django wins
16009,fuck yess christoph waltz wins best supporting actor
16130,the best actor alive wins the first award a damn good start to the evening
16177,christoph waltz wins best suppporting actor my favorite o
16218,christoph waltz wins supporting actor i picked his django costar leo dicaprio 01
16229,christoph waltz wins best supporting actor for his role in django unchained
16230,christoph waltz wins best supporting actor for django unchained
16231,i agree with this message rt @digitalgurl djanjo wins
16427,christopher waltz wins best supporting actor havent seen django yet but i can already guarantee this is definitely deserved
16468,@emlundblad daniel day lewis wins all the for his et performance for shizzle
16470,christoph waltz wins an award its more fun to say when you germanize the ws into vs
16488,havent seen django yet but am happy christoph waltz wins supporting actor he was so good in previous tarantino film
16521,cristoph waltz wins best supporting actor really enjoyed his performance in django unchained he deserves it
16626,christoph waltz wins best supporting actor motion picture for his work in django unchained
16642,christoph waltz wins the award for the horrible acceptance speech
16659,well deserved rt @washingtonpost christoph waltz wins best supporting actor for unchained
16665,christoph waltz wins the first award hes the only nominee i cared about he deserved it
16881,i hope she wins rt @thehoborg just showed jennifer shes wearing a jacket she must be extra cold with that flu
16892,@washingtonpost christoph waltz wins best supporting actor for unchained
17000,@washingtonpost christoph waltz wins best supporting actor for unchained niceeee
17035,maggie smith wins tv supporting actress
17155,anyway can someone tell me if taylor wins her golden globes im in a cab atm
17220,dont know much about tv wins i just do the watching
17226,christoph waltz wins best supporting actor for django unchained
17307,dowager wins
17437,my greataunt maggie wins again
17461,connie brittons hair for all the wins
17483,take off an article of clothing any time maggie smith wins and so
17554,sofia vergara looks amazing too bad she never wins
17559,dowager countess wins
17627,wins the first award of the night
17720,aw yeah maggie smith wins @thedowagershat
17738,maggie smith always wins every award
17861,dame maggie smith wins of course for downton abbey
18103,maggie smith wins for best supporting actress in a drama go professor mcgonnagall
18365,maggie smith wins best supporting actress in a miniseries for downton abbey
18527,maggie smith wins a
18566,i dont care how many golden globes it wins im still choosing to treat downton abbey as a fictional parody of a bbc show
18648,christoph waltz wins best supporting actor at
18912,when leonardo dicaprio finally wins something the world and myself will be shedding long overdue tears of happiness
19091,like obvi maggie wins and she doesnt even have to be there @goldenglobes
19145,if waltz won fritz wins by the transitive property
19249,i hope jared leto wins best director
19355,someone poke @pattonoswalt and tell him we need a dowager countess wins an award joke stat
19375,@downtonabbey maggie smith wins again congratulations
19382,maggie smith wins this starts so well
19465,maggie smith wins the for downton abbey well done wishing her great health and many more awards
19538,maggie smith wins at the for switching to in 46 minutes to continue the celebration
19656,christoph waltz wins best supporting actor in django unchainedmaggie smith wins best supporting tv actress in downton abbey
19668,@goldenglobes christoph waltz and maggie smith kick the night off with best supporting actoractress wins
19736,always bet on the dowager countess always maggie smith wins but isnt there to accept baller
19879,faith in humanity rt @thr maggie smith wins the golden globe for best supporting actress tv for downton abbey
19885,golden globes im literally gonna cry every time les mis wins
20042,the lovely maggie smith wins for downton
20183,i hate the but as long as the movie wins big ill be happy
20211,poor leo i really hope he wins something someday
20404,i really just hope silver linings playbook wins something
20547,wins wont host next year
20884,maggie smith wins best supporting actress and im 1for1 a pretty obvious pick though so im not getting cocky yet
21023,watching the @goldenglobes makes me think of the @grammys imagining the day when @asilentfilm wins one @altnation
21035,wins the for best supporting actress my award for being the coolest woman on the planet
21215,leonardo dicaprio should just win an award for being nominated the most but never wins
21267,first drink of the game if maggie smith wins i dont even know who she is but she won within minutes and i drank
21384,im okay with hollywood when two 40ish funny women host the golden globes and one elderlyish funny woman wins the first award
21454,voters dont understand that sofia vergara will give you the best speech in the history of speeches if she wins let her win
21664,christoph waltz wins best supporting actor for django @unchainedmovie
21778,it doesnt really matter who wins does it does it
21795,wins best supporting actor for django unchained he was incredible @norbuck
21943,i hope the hour wins best miniseries
22077,rt @thr christoph waltz wins the golden globe for best supporting actor in django unchained
22108,christoph waltz wins best supporting actor at the golden globes 2013
22113,christoph waltz wins best supporting actor at the golden globes 2013 pimg src
22119,wins best miniseries or tv movie
22180,just tell me when wins @ahsfx
22222,golden globes 2013 game change hbo wins best miniseries or tv movie
22293,oh snooze sarah palin wins i wonder how she feels
22346,game change wins best miniseries or tv movie
22353,hbos game change wins best miniseries or motion picture made for television at the
22362,this feels like the start of a drinking game drink everything wins something
22418,game change wins for best miniseries tv movie
22458,game change wins for best miniseries or tv movie zero people are surprised
22544,yoshiki wins special award for cutest guy at the golden globes
22647,@thewrap golden globes 2013 christoph waltz wins best supporting actor
22709,of course christoph waltz wins for best supp actor of course
22725,wins no way shouldve been
22757,game change wins best mini series tv movie
22774,game change wins best tv movie
22785,game change wins the for best tv movie or miniseries
22877,game change wins best miniseries what a deserving win
22948,the antisarah palin movie wins the imagine my surprise
22967,game change wins best miniseries or tv movie
23095,definitely expecting anne hathaway to give her princess diaries speech if she wins tonight
23131,game change wins best tv mini seriesdrama
23184,game change wins best tv movieminiseries definitely not surprised
23235,game change wins the which officially makes it the only thing mccainpalin 2012 ever won
23237,seems like that movie ran years ago game change the sarah palin thing wins best tv movie
23333,game change wins the golden globes its official john mccain is the only person sarah palin hasnt brought success to
23344,@ap christoph waltz wins golden globe for best supporting actor rjj the dr @jermainemoore88
23385,pretty pleased with the wins so far especially dame maggie smith wouldve liked to have seen the hour win
23433,great movie game change wins best miniseries or tv movie
23574,woo hoo @juliannemoores game change wins best mini series or tv movie
23742,still always laugh thinking about danny strong on when he wins everything is nominated for
23971,wins best miniseries or tv movie
23991,like a fine wine even better with age maggie smith wins for still up for her role in quartet
24010,the make me hate hbo more and more every year any show on that network wins everything
24219,congrats to christoph waltz maggie smith and game change on their wins
24296,take off an article of clothing any time maggie smith wins
24311,could care less who wins the awards just like all the other stuff
24353,is maggie smith too old to travel to america or what she never comes but always wins
24355,so glad she won rt @thr maggie smith wins the golden globe for best supporting cont
24357,i truly believe leo dicaprio has been blackballed by the hollywood awardsfilm industry he is a fantastic actor never wins
24385,disappointed that sofia vergara never wins seriously whats up with that
24680,i hope jessica lange wins
24990,does everyone have to get on stage when their movie wins at theyre going to miss the fruit cup
24995,dang u typed that fast lol rt @aggiashagre game change starring julianne moore wins best miniseries or tv movie category
25148,julianne wins not because she was the best but because everyone hates sarah palin
25164,@huffingtonpost christoph waltz wins best supporting actor at as he should have
25285,julianne moore wins for
25419,go julianne moore 2 wins and we have only done a few categories
25460,julian moore wins
25504,julianne moore wins best actress in tv movie
25553,west 11th st wins at the yay for our neighbor the game changer
25555,bravery wins congrats julianne moore
25587,i love les mis but if it wins best picture over lincoln im honestly going to kill someone
25711,julianne moore wins best actress in a miniseries or tv movie
25721,julianne moore wins best actress in a miniseries or tv movie for
25783,darcy st fudge wins for my new alias
25928,julianna moore wins best actress for miniseriestv movie
25931,the wins again @goldenglobes
25968,wins best actress in a tv series for doing a saturday night live parody of exgovernor sarah palin
26283,julianne moore wins best actress in a tv movie for playing @sarahpalin in game change
26315,julianne moore wins best actress for tv movie role in game change gives mad props to director jay roach
26398,2013 christoph waltz wins best supporting actor globe for django unchained
26436,i hope hugh jacknan wins a golden globe
26472,yay well deserved rt @globalgrind julianne moore wins best actress in a mini series or tv movie
26504,yay julianne moore wins jessica lange falls victim to this category cf haha
26516,game change wins for best tv movie and best actress an interview with screenwriter danny strong
26557,yay for politicos wins for best miniseries yay christopher waltz won best actor for django unchained
26945,i hope les mis wins for best comedy
26966,julianne moore wins for best actress in a miniseries or movie oh my gosh my children will be so relieved she says
27114,bill murray wins best life well deserved
27147,i hope les mis wins love that movie
27184,i really hope miserables wins
27264,2013 golden globes maggie smith wins for downton abbey
27296,even though is the golden globes and the musical always wins even when it doesnt deserve it
27307,watching the golden globes hoping wins something lol
27311,golden globes live blog waltz wins fordjango
27647,congrats to @juliannemoore for the wins its great to see buers @goldenglobes and you look terrific
28448,gorgeous womans so faradele hoping skyfall wins julianne moore sofy vergara anne hathaway nicole kidman hallie berry
28512,oh yeah @thr 2013 christoph waltz wins best supporting actor globe for django unchained
28718,so far no categories or wins that interest me hope things pick up the only good thing so far was the opening monologue
29128,true sake as my favorite actress ever wins thanks chino
29182,@lmotriak ok thanks hubby wont let me watch it hope the walking dead wins some golden globes
29188,yes i watch the golden globes and feel sort of proud when hbo wins won champagne and strawberry for all
29308,and now for some more british wins please
29356,i think i died when the les mis trailer was played i really hope it wins
29388,julianne moore wins best actress in a miniseries or tv movie for
29440,watching the golden globes everyone looks beautiful hoping wins big tonight
29488,@abc julianne moore wins for best actress in a miniseries or movieoh my gosh my children will be so relieved she says
29507,julianne moore wins the for best actress in a miniseries or tv movie for game change
29633,best part of the golden globes open bar everybody wins
29866,christoph waltz maggie smith and more check out all the wins on the so far
30006,julianne moore wins best actress in miniseriestv movie for were updating winners here
30010,maggie smith wins at the golden globes
30148,im done with golden globes bill the butcher wins again
30310,i hate watching the golden globes because the movies i wanna win never do and its always a stupid movie ive never heard of that wins
30591,julianne moore wins best actress in miniseries at golden globes
30676,i hope les miserables wins all the awards
31908,justin timberlake wins golden globe for funniest goofball at his table
31924,i hope the best exotic marigold hotel wins it was a great and funny movie
32503,golden globes 2013 christoph waltz wins best supporting actor globe for django unchained tina fey and amy po
32569,salma hayek thought it was a theme party also she wins
32604,hoping jeff daniels wins for newsroom
32894,homeland wins and thus gingers win their civil rights activism for souls
32913,damian lewis wins for the best show on television
32929,damian lewis wins and i havent missed yet either im psychic or the hfpa are super predictable its the latter
32939,time for change julianne moore wins best actress in a tv miniseries or movie
33018,damien lewis wins the globe for best actor tv series or drama
33019,lets all listen to safe and sound and hope it wins
33086,damien lewis wins well deserved is amazing
33137,damian lewis wins for homeland
33151,damien lewis wins for best actor drama for homeland apparently the hfpa enjoys small mouthed people
33190,brits doing well so far as damien lewis wins
33231,damian lewis wins will claire danes homeland be next
33235,damien lewis wins for homeland that reminds me i must catch up with television
33330,damian lewis wins for best supporting ginger who also makes my panties wet runner up
33378,i really hope wins something at the
33463,homelands @lewisdamian wins the award for best actor in a tv series drama
33486,the homeland ginger wins hes far sexier when he has an accent and isnt a terrorist
33549,neither jon hamm nor bryan cranston wins best actor in a tv show i disagree
33680,damian lewis wins best actor tv series or drama for homeland
33797,damian lewis homeland wins best actor tv series drama
33820,its ok john hamm wins sexiest man on tv
33869,damien lewis wins for homeland
33908,damien lewis wins best actor in a tv series for his role in homeland
33936,@washingtonpost damian lewis wins best actor for tv drama
34025,golden globe winner damian lewis wins best actor in a tv drama for homeland
34051,damian lewis wins @bostonbronson @corbolcorbo
34145,damian lewis wins for homeland
34167,damian lewis wins for homeland should i be watching it so many rave reviews have turned me off strangely enough
34281,anne hathaway deserves a golden globe so much i hope she wins i dreamed a dream 3
34293,damian lewis wins for homeland yay
34359,no golden globes for me tonight keep me updated on the best and worst dressed oh and also who wins awards
34448,hope steven booshemmy wins a gold sphere trophy
34465,damian lewis wins best actor in a drama tv
34504,so homeland wins its first lets root for zero dark thirty and make it an islamophobic sweep
34516,damian lewis wins best actor for homeland dedicated the award to his mother
34572,most of the wins have been somewhat predictable so far but they are still pretty good wins
34611,damien lewis wins because hell kill us all if he doesnt then claire danes will go offmeds and eat our skin
34773,damian lewis wins best actor for tv drama
34973,damian lewis wins best actor tv series for drama for homeland was rooting for jeff daniels but hey
34985,damian lewis wins best actor in a tv drama for homeland
35016,wins best drama
35064,white people gotta have their homelandcomments following superstorm sandy and so it wins
35144,brody wins again over heisenbergheisenberg needs to pop a cap in that terrorist
35147,the survives another year damien lewis wins
35182,damian lewis also wins the golden globe for tiniest mouth on a human being congrats brody
35187,homeland wins best tv series drama
35274,wins again best tv series drama
35462,homeland wins again
35529,golden globes 2013 no thanks to the teleprompter homeland wins for best tv series drama
35562,live updates game change wins golden globes for tv movie julianne moore baltmoresun
35568,wins
35606,homeland wins
35616,homeland wins so far my predictions are going well
35617,homeland wins yessssssssssss
35630,homeland wins for best tv series
35731,wins best tv drama
35828,ooooo wins best show on the tube i can dig it
35851,homeland wins best tv drama
35854,homeland wins
35869,homeland wins best drama tv mandy patinkin is pleased claire danes is probably crying
36054,homeland wins again for best tv series drama
36201,wins because that show is the shizzz
36210,love the wins for @shohomeland congrats
36238,wins best series brody is british
36279,yeesssssss n @shohomeland wins again
36351,homeland wins yayayay
36396,homeland wins best drama definitely a lot of deserving nominees this year
36408,homeland wins so many good shows in that category
36510,omg homeland wins best drama and best lead actor here too an emmy and a golden globe in 1 year maybe i should check it out
36577,homeland wins at
36721,yessss homeland wins again see i told yall that was a good show in your face haters
36889,@tvguide homeland continues its streak wins best tv drama
36969,more congratulations as wins best tv drama series
36989,great show rt @theroot247 homeland wins best tv drama series at
37065,homeland wins best tv drama much much deserved
37066,i have to watch homeland the show wins tv drama series
37122,im going to be disappointed every time something wins over downton lets face it its the best show in the history of tv
37192,homeland wins golden something for best something
37195,@twitter reps will now say president obama orchestrated the wins for @golden globes
37302,lindona trs chic rt @vanityfair julianne moore wins best actress and first person to give a shoutout at the
37320,homeland wins best television series drama
37445,damian lewis wins for
37568,aww no wins for the newsroom makes the hiatus more difficult
37753,homeland wins two awards in row and ive never seen it guess i should see what the hubbub is all about
37773,filmed in charlotte nc @shohomeland wins best tv series golden globe award congrats @goldenglobes @missmorenab @lewisdamian
37856,strikes again wins as tvs best drama left on cutting room floor
37864,homeland wins best tv drama really wanted breaking bad to win oh well at least it wasnt a downton abbey win
37886,homeland wins best drama series
38012,homeland wins the for best tv series drama
38078,no @todayshow homeland wins the for best tv series drama do you agree
38179,@washingtonpost wins best tv series drama
38203,thats two the newsroom missed wins already both to homeland
38389,i hope quentin tarantino wins a golden globe and loses his baby teeth
38478,agreed best show ever @alibtaub wins again its getting the recognition it deserves
38536,not surprised by wins just more reasons i need to see that show
38564,wootwoot homeland wins best telelvision series at the golden globes hurrah for homeland
38653,damian lewis wins best actor in tv series drama golden globes 2013
38945,well deserved homeland wins tonight for best television series drama hoo
39033,another spoiler homeland wins for best wellspoken cast
39143,for the wins
39152,rt @washingtonpost wins best tv series drama
39160,christoph waltz wins an award from the foreign press shocker
39207,ugh claire danes is so boring that im getting disappointed w wins
