text,extracted_award
too busy for the this go around somebody tweet me if cumberbatch wins,
"lmao ""@morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",
"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",
rt @moderndestiny i really really really hope adele wins a globe tonight she looks gorg in @burberry @eredcarpet,
rt @possessionista if jennifer lawrence starts spinning around and her dress catches on fire she wins all the awards ,
rt @moderndestiny i really really really hope adele wins a globe tonight she looks gorg in @burberry @eredcarpet,
"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",
"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",
im happy if anne hathaway wins @goldenglobes,
rt @theindiechicks what movie did you fall in love with that you hope wins their categories ,
agreed rt @alexandrawrote hair dress makeup marion cottilard wins ,
touche rt @wikimapper @franchambers golden globes is just a different kind of politics i for one hope argo wins,
hoping silver linings playbook wins it all tonight ,
id watch the but scripted tv wins out over awards shows every time ,
rt @vampirediariecw hoping silver linings playbook wins it all tonight ,
"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",
rt @thebrunetteone ben affleck you are hot i hope you win i hope kathryn bigelow wins too but i hope you win ,
i hope django unchained wins everything it wont ,
"rt @lokay the first celeb to ask any member of the ""today"" show crew on the red carpet ""wheres ann curry"" wins my undying respect",
rt @ericadelong dustin hoffman wins best personality on the red carpet tonight he is a presenter his movie opens jan 25th,['best personality']
hopefully the are good and that jennifer lawrence wins tonight,
 are actually about to start wins everything ever,
bill murray wins ,
i love watching the golden globes i hope zero dark thirty wins something,
with that shot bill murray wins for greatest beard of the night ,
rt @coffeecocktail i hope adele wins skyfall is the greatest song ,
i just want to see more benedict is that too much to ask oh and that he wins that would be da best ,
bill murray wins the beard award ,
bill murrays facial hair wins the golden globes,
bill fuckin murray is pulling a wolverine fuck yea he wins all the we the fuck they give away ,
breaking bill murrays van buren wins all the golden globes,
the begins hope django unchained wins an award in the name of the underdog,
im still mad at olivia munn for the @taylorswift13 episode but she wins my most wanted dress ,
amy poehler wins the night game over ,
and wins the night with her james cameron burn ,
watching cant wait to see who wins,
golden globes will ben affleck and katheryn bigelow have better luck after oscar snubs consolation wins for b ,
watching the golden globes i say silver linings wins best movie,['best movie']
im so anxious to see who wins ,
so far tina fey wins best dressed im obsessed with that dress ,
i dont even care who wins anymore i just want tina and amy to keep talking ,
rt @proteautype bill murray wins best facial hair of the night and the 19th century ,['best facial hair']
"whoever makes a ringtone of amy singing ""i dream a dream"" wins my heart send it to me ",
i dont even care about who wins give me more tina and amy ,
i dont really care about who actually wins the awards ,
if my nigga daniel craig wins something at the golden globes tonite,
rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
christoph waltz wins best supporting actor for django unchained ,['best supporting actor']
django wins ,
yayyyyy christoph wins best supporting actor thats one for django ,['best supporting actor']
 wins ,
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
christoph waltz wins golden globe for best supporting actor ,
god damn thats a strong group of best supporting actors but waltz wins,
christoph waltz wins best supporting actor ,['best supporting actor']
christoph waltz wins for django ,
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
called it christoph waltz wins best supporting ,
rt @filmdotcom christoph waltz wins best supporting actor for django unchained ,['best supporting actor']
rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
there had better be some wins tonight for les mis ,
rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
"blm ntn but make sense ""@thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
christoph waltz wins best supporting actor for django unchained ,['best supporting actor']
rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
 christopher waltz wins best supporting actor ,['best supporting actor']
christoph waltz wins for django unchained @mikeandbilly ,
django wins its first award ,
woah christoph waltz wins best supporting actor for django unchained i was between leo and hoffman ,['best supporting actor']
if benedict cumberbatch wins his category no matter what else happens this year will be okay ,
christoph waltz wins best supporting actor for django unchained ,['best supporting actor']
my first pick wins chistoph waltz ,
christoph waltz wins the first award of the night dont need to watch the anymore then,
poor he only wins victorias secret models ,
yes 1 for 1 walz wins i got this ,
daniel day lewis wins all the for his et performance,
christoph waltz wins the first bit of hardware and its well deserved ,
"first award christoph waltz wins the for best supporting actor in ""django unchained""",['best supporting actor']
wow christoph waltz wins best supporting actor did not think that was gonna happen ,['best supporting actor']
ayyyyyyye theyre playing @johnlegends song whenever django wins ,
fuck yess christoph waltz wins best supporting actor ,['best supporting actor']
rt @washingtonpost christoph waltz wins best supporting actor for unchained ,['best supporting actor']
rt @alotofnothing i hope leo dicaprio wins so he can go on stage and make out with bradley cooper thats how it works right ,
the best actor alive wins the first award a damn good start to the evening ,
christoph waltz wins best suppporting actor my favorite o,['best suppporting actor']
christoph waltz wins supporting actor i picked his django costar leo dicaprio 01 ,
christoph waltz wins best supporting actor for his role in django unchained ,['best supporting actor']
christoph waltz wins best supporting actor for django unchained ,['best supporting actor']
i agree with this message rt @digitalgurl djanjo wins ,
rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
"rt @thr christoph waltz wins the for best supporting actor in ""django unchained"" ",['best supporting actor']
"rt @thr christoph waltz wins the for best supporting actor in ""django unchained"" ",['best supporting actor']
christopher waltz wins best supporting actor havent seen django yet but i can already guarantee this is definitely deserved ,['best supporting actor']
"""@emlundblad daniel day lewis wins all the for his et performance"" for shizzle",
christoph waltz wins an award its more fun to say when you germanize the ws into vs ,
rt @washingtonpost christoph waltz wins best supporting actor for unchained ,['best supporting actor']
havent seen django yet but am happy christoph waltz wins supporting actor he was so good in previous tarantino film ,
cristoph waltz wins best supporting actor really enjoyed his performance in django unchained he deserves it ,['best supporting actor']
rt @brandnewskies if benedict cumberbatch wins his category no matter what else happens this year will be okay ,
"christoph waltz wins best supporting actor motion picture for his work in ""django unchained"" ",['best supporting actor motion picture']
rt @washingtonpost christoph waltz wins best supporting actor for unchained ,['best supporting actor']
rt @washingtonpost christoph waltz wins best supporting actor for unchained ,['best supporting actor']
