,text,spacy
0,too busy for the this go around somebody tweet me if cumberbatch wins,
1,"lmao ""@morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",nbc
2,"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",rt @morocca
3,rt @moderndestiny i really really really hope adele wins a globe tonight she looks gorg in @burberry @eredcarpet,
4,rt @possessionista if jennifer lawrence starts spinning around and her dress catches on fire she wins all the awards ,rt @possessionista
5,rt @moderndestiny i really really really hope adele wins a globe tonight she looks gorg in @burberry @eredcarpet,
6,"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",rt @morocca
7,"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",rt @morocca
8,im happy if anne hathaway wins @goldenglobes,anne hathaway
9,rt @theindiechicks what movie did you fall in love with that you hope wins their categories ,
10,agreed rt @alexandrawrote hair dress makeup marion cottilard wins ,
11,touche rt @wikimapper @franchambers golden globes is just a different kind of politics i for one hope argo wins,
12,hoping silver linings playbook wins it all tonight ,
13,id watch the but scripted tv wins out over awards shows every time ,
14,rt @vampirediariecw hoping silver linings playbook wins it all tonight ,rt @vampirediariecw
15,"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",rt @morocca
16,rt @thebrunetteone ben affleck you are hot i hope you win i hope kathryn bigelow wins too but i hope you win ,
17,i hope django unchained wins everything it wont ,
18,"rt @lokay the first celeb to ask any member of the ""today"" show crew on the red carpet ""wheres ann curry"" wins my undying respect",first
19,rt @ericadelong dustin hoffman wins best personality on the red carpet tonight he is a presenter his movie opens jan 25th,rt @ericadelong dustin hoffman
20,hopefully the are good and that jennifer lawrence wins tonight,jennifer lawrence
21, are actually about to start wins everything ever,
22,bill murray wins ,bill murray
23,i love watching the golden globes i hope zero dark thirty wins something,
24,with that shot bill murray wins for greatest beard of the night ,
25,rt @coffeecocktail i hope adele wins skyfall is the greatest song ,rt @coffeecocktail
26,i just want to see more benedict is that too much to ask oh and that he wins that would be da best ,
27,bill murray wins the beard award ,bill murray
28,bill murrays facial hair wins the golden globes,
29,bill fuckin murray is pulling a wolverine fuck yea he wins all the we the fuck they give away ,bill fuckin murray
30,breaking bill murrays van buren wins all the golden globes,bill murrays van buren
31,the begins hope django unchained wins an award in the name of the underdog,
32,im still mad at olivia munn for the @taylorswift13 episode but she wins my most wanted dress ,
33,amy poehler wins the night game over ,
34,and wins the night with her james cameron burn ,
35,watching cant wait to see who wins,
36,golden globes will ben affleck and katheryn bigelow have better luck after oscar snubs consolation wins for b ,ben affleck
37,watching the golden globes i say silver linings wins best movie,
38,im so anxious to see who wins ,
39,so far tina fey wins best dressed im obsessed with that dress ,
40,i dont even care who wins anymore i just want tina and amy to keep talking ,
41,rt @proteautype bill murray wins best facial hair of the night and the 19th century ,bill murray
42,"whoever makes a ringtone of amy singing ""i dream a dream"" wins my heart send it to me ",
43,i dont even care about who wins give me more tina and amy ,tina
44,i dont really care about who actually wins the awards ,
45,if my nigga daniel craig wins something at the golden globes tonite,daniel craig
46,rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
47,rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
48,rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
49,"rt @morocca hey nbc shouldve gotten a ""mani cam"" e wins this round ",rt @morocca
50,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
51,christoph waltz wins best supporting actor for django unchained ,christoph waltz
52,django wins ,
53,yayyyyy christoph wins best supporting actor thats one for django ,yayyyyy christoph wins
54, wins ,
55,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
56,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
57,christoph waltz wins golden globe for best supporting actor ,
58,god damn thats a strong group of best supporting actors but waltz wins,
59,christoph waltz wins best supporting actor ,christoph waltz
60,christoph waltz wins for django ,
61,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
62,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
63,called it christoph waltz wins best supporting ,
64,rt @filmdotcom christoph waltz wins best supporting actor for django unchained ,
65,rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
66,rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
67,there had better be some wins tonight for les mis ,
68,rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
69,"blm ntn but make sense ""@thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
70,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
71,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
72,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
73,christoph waltz wins best supporting actor for django unchained ,christoph waltz
74,rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
75, christopher waltz wins best supporting actor ,
76,christoph waltz wins for django unchained @mikeandbilly ,
77,django wins its first award ,
78,woah christoph waltz wins best supporting actor for django unchained i was between leo and hoffman ,
79,if benedict cumberbatch wins his category no matter what else happens this year will be okay ,
80,christoph waltz wins best supporting actor for django unchained ,christoph waltz
81,my first pick wins chistoph waltz ,
82,christoph waltz wins the first award of the night dont need to watch the anymore then,
83,poor he only wins victorias secret models ,
84,yes 1 for 1 walz wins i got this ,
85,daniel day lewis wins all the for his et performance,
86,christoph waltz wins the first bit of hardware and its well deserved ,
87,"first award christoph waltz wins the for best supporting actor in ""django unchained""",
88,wow christoph waltz wins best supporting actor did not think that was gonna happen ,
89,ayyyyyyye theyre playing @johnlegends song whenever django wins ,
90,fuck yess christoph waltz wins best supporting actor ,
91,rt @washingtonpost christoph waltz wins best supporting actor for unchained ,
92,rt @alotofnothing i hope leo dicaprio wins so he can go on stage and make out with bradley cooper thats how it works right ,rt @alotofnothing
93,the best actor alive wins the first award a damn good start to the evening ,
94,christoph waltz wins best suppporting actor my favorite o,christoph waltz
95,christoph waltz wins supporting actor i picked his django costar leo dicaprio 01 ,christoph waltz
96,christoph waltz wins best supporting actor for his role in django unchained ,christoph waltz
97,christoph waltz wins best supporting actor for django unchained ,christoph waltz
98,i agree with this message rt @digitalgurl djanjo wins ,
99,rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
100,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
101,"rt @thr christoph waltz wins the for best supporting actor in ""django unchained"" ",
102,"rt @thr christoph waltz wins the for best supporting actor in ""django unchained"" ",
103,christopher waltz wins best supporting actor havent seen django yet but i can already guarantee this is definitely deserved ,christopher waltz
104,"""@emlundblad daniel day lewis wins all the for his et performance"" for shizzle",
105,christoph waltz wins an award its more fun to say when you germanize the ws into vs ,
106,rt @washingtonpost christoph waltz wins best supporting actor for unchained ,
107,havent seen django yet but am happy christoph waltz wins supporting actor he was so good in previous tarantino film ,
108,cristoph waltz wins best supporting actor really enjoyed his performance in django unchained he deserves it ,
109,rt @brandnewskies if benedict cumberbatch wins his category no matter what else happens this year will be okay ,
110,"christoph waltz wins best supporting actor motion picture for his work in ""django unchained"" ",christoph waltz
111,rt @washingtonpost christoph waltz wins best supporting actor for unchained ,
112,rt @washingtonpost christoph waltz wins best supporting actor for unchained ,
113,christoph waltz wins the award for the horrible acceptance speech ,
114,well deserved rt @washingtonpost christoph waltz wins best supporting actor for unchained ,
115,christoph waltz wins the first award hes the only nominee i cared about he deserved it ,christoph
116,"i hope she wins rt ""@thehoborg just showed jennifer shes wearing a jacket she must be extra cold with that flu ",
117,"""@washingtonpost christoph waltz wins best supporting actor for unchained ",
118,"""@washingtonpost christoph waltz wins best supporting actor for unchained niceeee",
119,maggie smith wins tv supporting actress ,maggie smith
120,rt @iamaprildaniels django unchained wins it congrats christoph waltz ,
121,"rt @thr christoph waltz wins the for best supporting actor in ""django unchained"" ",
122,anyway can someone tell me if taylor wins her golden globes im in a cab atm ,taylor
123,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
124,rt @washingtonpost christoph waltz wins best supporting actor for unchained ,
125,dont know much about tv wins i just do the watching ,
126,christoph waltz wins best supporting actor for django unchained ,christoph waltz
127,dowager wins ,
128,my greataunt maggie wins again ,
129,connie brittons hair for all the wins ,
130,"""take off an article of clothing any time maggie smith wins"" and so ",
131,sofia vergara looks amazing too bad she never wins ,
132,dowager countess wins ,
133, wins the first award of the night ,
134,rt @radiotj christoph waltz wins first award well deserved love that guy,
135,aw yeah maggie smith wins @thedowagershat,
136,maggie smith always wins every award ,maggie smith
137,rt @rollingout yes christoph waltz wins for django unchained ,
138,dame maggie smith wins of course for downton abbey ,
139,rt @pagesix first awardchristoph waltz wins best supporting actor for motion picture ,
140,rt @mrbateslegal maggie smith wins ,
141,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
142,"rt @thr christoph waltz wins the for best supporting actor in ""django unchained"" ",
143,"rt @thr maggie smith wins the golden globe for best supporting actress tv for ""downton abbey"" ",rt @thr maggie smith
144,maggie smith wins for best supporting actress in a drama go professor mcgonnagall ,maggie smith
145,"rt @fashionweeknyc christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
146,rt @iamaprildaniels django unchained wins it congrats christoph waltz ,
147,maggie smith wins best supporting actress in a miniseries for downton abbey ,maggie smith
148,maggie smith wins a ,maggie smith
149,i dont care how many golden globes it wins im still choosing to treat downton abbey as a fictional parody of a bbc show,
150,christoph waltz wins best supporting actor at ,christoph waltz
151,rt @hulu maggie smith wins best supporting actress in a miniseries for downton abbey ,smith
152,when leonardo dicaprio finally wins something the world and myself will be shedding long overdue tears of happiness ,
153,rt @huffingtonpost christoph waltz wins best supporting actor at ,
154,like obvi maggie wins and she doesnt even have to be there @goldenglobes,
155,rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,
156,if waltz won fritz wins by the transitive property ,
157,i hope jared leto wins best director ,
158,rt @mrbateslegal maggie smith wins ,
159,someone poke @pattonoswalt and tell him we need a dowager countess wins an award joke stat ,
160,@downtonabbey maggie smith wins again congratulations ,@downtonabbey
161,maggie smith wins this starts so well ,maggie smith
162,rt @washingtonpost christoph waltz wins best supporting actor for unchained ,
163,rt @huffingtonpost christoph waltz wins best supporting actor at ,
164,maggie smith wins the for downton abbey well done wishing her great health and many more awards ,maggie smith
165,rt @huffingtonpost christoph waltz wins best supporting actor at ,
166,rt @huffingtonpost christoph waltz wins best supporting actor at ,
167,rt @huffingtonpost christoph waltz wins best supporting actor at ,
168,maggie smith wins at the for switching to in 46 minutes to continue the celebration ,maggie smith
169,rt @huffingtonpost christoph waltz wins best supporting actor at ,
170,rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,
171,christoph waltz wins best supporting actor in django unchainedmaggie smith wins best supporting tv actress in downton abbey,christoph waltz
172,@goldenglobes christoph waltz and maggie smith kick the night off with best supporting actoractress wins ,
173,rt @huffingtonpost christoph waltz wins best supporting actor at ,
174,always bet on the dowager countess always maggie smith wins but isnt there to accept baller ,
175,"faith in humanity rt @thr maggie smith wins the golden globe for best supporting actress tv for ""downton abbey"" ",smith
176,golden globes im literally gonna cry every time les mis wins ,
177,rt @movieline christoph waltz wins the golden globe for django unchained ,
178,the lovely maggie smith wins for downton ,
179,rt @thetimes maggie smith wins the golden globe for best supporting actress tv for her role in downton abbey ,
180,i hate the but as long as the movie wins big ill be happy,
181,rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,
182,poor leo i really hope he wins something someday ,
183,rt @huffingtonpost christoph waltz wins best supporting actor at ,
184,rt @theatlanticwire maggie smith wins supporting actress foreigners living in america give award to foreigner who wont travel to america ,
185,rt @gbprobst the golden globes are off to a good start tina fey and amy poehler were funny and charming christoph waltz wins a well deserved award,
186,i really just hope silver linings playbook wins something ,
187,rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,
188,rt @thetimes maggie smith wins the golden globe for best supporting actress tv for her role in downton abbey ,
189,rt @huffingtonpost christoph waltz wins best supporting actor at ,
190, wins wont host next year ,
191,rt @gcdb he wins congratulations to christoph ,
