,text
0,"[('jlos', 'PERSON')]"
1,[]
2,"[('@fabsugar', 'ORG'), ('kerry washington', 'PERSON')]"
3,"[('anne hathaway', 'PERSON')]"
4,"[('jennifer lopezs', 'PERSON')]"
5,"[('a de su moda', 'PERSON'), ('su maniquere', 'PERSON'), ('tela de juicio su', 'PERSON')]"
6,[]
7,"[('al roker', 'PERSON')]"
8,"[('hugh jackman', 'PERSON')]"
9,[]
10,"[('hellen mirren', 'PERSON')]"
11,"[('jennifer', 'PERSON')]"
12,"[('jessica alba', 'PERSON')]"
13,"[('@kerrywashington', 'ORG')]"
14,"[('sofia vergara este', 'ORG'), ('bueno ella', 'PERSON')]"
15,[]
16,"[('one', 'CARDINAL')]"
17,[]
18,"[('hugh jackman', 'PERSON')]"
19,"[('@sofiavergara', 'GPE')]"
20,"[('jessica', 'PERSON'), ('anne hathaway', 'PERSON')]"
21,"[('al', 'PERSON')]"
22,[]
23,"[('mi programa de domingo', 'ORG'), ('noche va', 'FAC')]"
24,"[('all night', 'TIME')]"
25,"[('leo dicaprioaaaaaah', 'ORG'), ('estava esperando ele aparecer estava', 'PERSON')]"
26,"[('kerry washington', 'PERSON')]"
27,"[('ewan', 'GPE'), ('yemen', 'GPE')]"
28,[]
29,"[('tonight', 'TIME'), ('lawd', 'PERSON')]"
30,[]
31,"[('miu miu', 'PERSON'), ('@kerrywashington', 'ORG')]"
32,"[('@carinesbridal @goldenglobes', 'ORG')]"
33,"[('kerry washington', 'PERSON')]"
34,"[('natalie morales', 'PERSON')]"
35,[]
36,"[('kerry', 'PERSON'), ('washington', 'GPE')]"
37,[]
38,"[('tonight', 'TIME')]"
39,"[('george clooney', 'PERSON')]"
40,"[('jlo', 'ORG')]"
41,"[('julianna rancic', 'PERSON')]"
42,"[('3', 'CARDINAL')]"
43,[]
44,"[('llega el futuro ganador del globo de oro leonardo', 'PERSON')]"
45,"[('kerry washington', 'PERSON')]"
46,"[('@whitbyfoodie', 'ORG')]"
47,"[('seacrest', 'ORG'), ('ben afflecks', 'PERSON')]"
48,"[('tonight', 'TIME')]"
49,"[('tonight', 'TIME'), ('rachel weisz', 'PERSON')]"
50,"[('kerry washington', 'PERSON'), ('julianas rock', 'PERSON')]"
51,"[('kerry washington', 'PERSON'), ('miu miu prada', 'ORG'), ('3', 'CARDINAL')]"
52,[]
53,"[('nicole kidman', 'PERSON')]"
54,"[('jennifer', 'PERSON')]"
55,[]
56,"[('ian', 'NORP')]"
57,[]
58,"[('guapsimas cada', 'PERSON')]"
59,"[('tampoco entiendo la', 'PERSON'), ('leonardo di', 'PERSON')]"
60,[]
61,[]
62,[]
63,"[('ben viendo', 'PERSON')]"
64,"[('@kerrywashington', 'PERSON')]"
65,"[('sienna miller', 'PERSON'), ('pelcula de la sayona', 'PERSON')]"
66,[]
67,"[('kerry washingtons', 'PERSON'), ('miu miu', 'PERSON')]"
68,[]
69,"[('gustara verla', 'PERSON')]"
70,"[('rt @lordandtaylor', 'PERSON')]"
71,[]
72,"[('kerry washington', 'PERSON'), ('miu miu', 'ORG')]"
73,[]
74,"[('jlo looks', 'PERSON')]"
75,[]
76,[]
77,"[('helen mirren', 'PERSON')]"
78,"[('jennifer', 'PERSON')]"
79,[]
80,"[('rt @epnebelle', 'PERSON')]"
81,"[('@sofiavergara', 'GPE')]"
82,"[('jlo', 'ORG')]"
83,"[('mudar de', 'PERSON')]"
84,[]
85,[]
86,[]
87,"[('rt @instyleuk', 'PERSON'), ('the night', 'TIME')]"
88,[]
89,"[('george clooney', 'PERSON'), ('90 years old', 'DATE')]"
90,"[('kerry washington', 'PERSON')]"
91,"[('helen mirren', 'PERSON')]"
92,"[('rt @kreacher1', 'PERSON')]"
93,[]
94,"[('marilyn monroe', 'PERSON'), ('los golden', 'GPE'), ('1960', 'DATE')]"
95,[]
96,[]
97,[]
98,"[('rt @emirimiyasato', 'PERSON'), ('george clooney', 'PERSON'), ('un', 'ORG')]"
99,[]
